team_id,player_id,name,nationality,position,age,attack,midfield,defence,goalkeeping,pace,shooting,passing,dribbling,defending,physical,value_millions,wage_thousands,potential,is_wonderkid
bayern,bay_kane,Harry Kane,English,ST,32,90,89,70,10,62,94,83,82,49,83,115,315,93,false
bayern,bay_olise,Michael Olise,French,RM,23,90,89,66,10,83,82,89,91,47,69,72,115,91,false
bayern,bay_kimmich,Joshua Kimmich,German,CDM,30,86,88,86,10,71,73,90,84,81,79,82,245,88,false
bayern,bayern_diaz,Luis Díaz,Colombian,LM,28,88,86,65,10,82,82,83,87,44,74,27.6,64,88,false
bayern,bay_upamecano,Dayot Upamecano,French,CB,26,78,77,87,10,80,45,65,75,86,83,72,165,91,false
dortmund,bvb_schlotterbeck,Nico Schlotterbeck,German,CB,25,81,80,87,10,81,60,76,74,86,84,42,82,91,false
dortmund,bvb_kobel,Gregor Kobel,Swiss,GK,27,10,12,16,87,88,85,64,88,44,86,32,72,88,false
bayern,bayern_tah,Jonathan Tah,German,CB,29,74,72,87,10,62,38,60,63,87,86,30.3,73,87,false
bayern,bay_musiala,Jamal Musiala,German,CAM,22,87,86,73,10,79,81,79,90,62,65,188,278,97,true
dortmund,bvb_guirassy,Serhou Guirassy,Guinean,ST,29,85,84,65,10,72,85,75,81,45,83,38,82,85,false
bayern,bayern_laimer,Konrad Laimer,Austrian,RB,28,82,82,85,10,86,69,78,77,81,77,14.8,38,85,false
stuttgart,vfb_undav,Deniz Undav,German,ST,29,85,84,58,10,67,86,76,83,33,81,28,52,85,false
dortmund,bvb_nmecha,Felix Nmecha,German,CM,24,83,83,85,10,83,78,78,84,82,88,22,42,89,true
leipzig,real_madrid_diomande,Yan Diomande,Ivorian,RW,18,84,83,63,10,93,77,75,87,47,70,7,16,88,true
hoffenheim,tsg_baumann,Oliver Baumann,German,GK,35,10,12,16,84,85,81,80,84,39,81,6,38,84,false
leverkusen,leverkusen_garcia,Aleix García,Spanish,CM,28,83,84,78,10,76,75,85,85,75,69,23.7,56,84,false
dortmund,bvb_anton,Waldemar Anton,German,CB,29,75,74,84,10,69,47,68,67,85,85,28,55,84,false
leipzig,rbl_orban,Willi Orbán,Hungarian,CB,32,69,67,83,10,54,40,56,56,86,83,12,52,83,false
bayern,bay_gnabry,Serge Gnabry,German,CAM,30,83,81,60,10,77,83,79,84,43,65,52,165,84,false
freiburg,scf_ginter,Matthias Ginter,German,CB,31,74,75,83,10,55,58,71,66,86,77,14,42,84,false
stuttgart,vfb_mittelstadt,Maximilian Mittelstädt,German,LB,28,80,82,83,10,76,63,79,78,80,74,18,42,83,false
leverkusen,lev_palacios,Exequiel Palacios,Argentine,CM,26,82,83,83,10,62,76,79,82,81,71,22,48,84,false
leverkusen,lev_schick,Patrik Schick,Czech,ST,29,83,81,60,10,70,83,71,81,38,78,18,55,83,false
leipzig,rbl_raum,David Raum,German,LB,27,82,83,81,10,83,62,82,81,76,79,28,55,84,false
bayern,bayern_minjae,Kim Min Jae,Korea Republic,CB,29,70,69,83,10,73,32,58,63,84,82,30.3,73,84,false
stuttgart,vfb_stiller,Angelo Stiller,German,CDM,24,80,83,81,10,59,59,84,84,76,72,18,32,90,true
bayern,bayern_saibari,Ismael Saibari,Moroccan,CAM,24,83,82,70,10,83,78,77,83,55,82,37.3,67,87,false
bayern,bayern_pavlovic,Aleksandar Pavlović,German,CDM,21,81,83,82,10,66,68,82,82,79,79,31.2,49,89,false
bayern,bayern_palhinha,Palhinha,Portuguese,CDM,24,74,76,82,10,50,68,74,72,83,84,32,59,86,false
dortmund,bvb_ryerson,Julian Ryerson,Norwegian,RB,27,81,81,82,10,75,63,76,77,78,82,22,48,82,false
bayern,bay_davies,Alphonso Davies,Canadian,LB,24,81,82,80,10,93,66,78,84,74,76,85,165,86,false
leipzig,rbl_baumgartner,Christoph Baumgartner,Austrian,CAM,26,82,81,69,10,73,79,77,83,57,68,28,48,84,false
frankfurt,m05_burkardt,Jonathan Burkardt,German,ST,25,82,79,61,10,80,83,67,81,44,76,18,32,84,false
leverkusen,lev_tapsoba,Edmond Tapsoba,Burkinabe,CB,26,77,77,82,10,74,58,73,72,82,80,38,62,90,false
mainz,mainz_sano,Kaishū Sano,Japanese,CDM,24,73,74,81,10,81,59,68,81,83,76,27.4,52,86,false
bayern,bay_neuer,Manuel Neuer,German,GK,39,14,16,20,81,80,80,87,78,31,82,28,215,88,false
dortmund,bvb_sabitzer,Marcel Sabitzer,Austrian,CM,31,81,81,80,10,74,79,80,80,78,77,22,72,81,false
dortmund,bvb_can,Emre Can,German,CB,31,77,76,81,10,70,76,71,72,81,82,14,62,81,false
hoffenheim,tsg_kramaric,Andrej Kramarić,Croatian,CAM,34,81,79,54,10,67,83,78,84,33,72,10,52,82,false
stuttgart,stuttgart_chabot,Julian Chabot,German,CB,24,68,65,81,10,50,38,52,56,83,85,27.4,52,86,false
dortmund,bvb_beier,Maximilian Beier,German,CAM,22,81,79,67,10,86,80,74,81,56,65,28,38,89,false
leipzig,leipzig_seiwald,Nicolas Seiwald,Austrian,CDM,24,76,77,81,10,78,62,77,74,80,79,26.1,49,86,false
leipzig,leipzig_lukeba,Castello Lukeba,French,CB,22,74,75,81,10,79,43,70,74,82,76,29.4,49,88,false
bayern,bayern_brown,Nathaniel Brown,German,LB,24,79,81,79,10,90,60,76,83,73,59,27.4,52,86,false
gladbach,bmg_kleindienst,Tim Kleindienst,German,ST,29,80,78,66,10,64,80,62,70,44,86,14,42,80,false
mainz,mainz_amiri,Nadiem Amiri,German,CM,24,80,80,68,10,68,80,83,82,61,73,23.5,45,85,false
frankfurt,scf_doan,Ritsu Doan,Japanese,RM,27,80,79,61,10,76,71,77,84,44,64,14,35,80,false
stuttgart,vfb_demirovic,Ermedin Demirović,Bosnian,ST,27,80,79,61,10,67,82,73,78,42,78,28,48,83,false
hoffenheim,hoffenheim_coufal,Vladimír Coufal,Czech,RB,33,78,78,80,10,73,57,74,74,77,78,4.1,17,80,false
bayern,bayern_stanisic,Josip Stanišić,Croatian,RB,25,73,73,80,10,76,46,69,71,81,75,9.6,22,84,false
leverkusen,leverkusen_maza,Ibrahim Maza,Algerian,CAM,19,80,80,72,10,74,69,77,85,64,66,11.7,19,84,false
freiburg,scf_grifo,Vincenzo Grifo,Italian,LM,32,79,78,59,10,66,74,81,80,43,66,10,38,82,false
hamburg,hsv_heuer_fernandes,Daniel Heuer Fernandes,Portuguese,GK,32,10,12,16,79,79,77,84,80,41,79,8,28,81,false
dortmund,bvb_bensebaini,Ramy Bensebaini,Algerian,CB,30,77,76,79,10,73,70,70,77,79,78,18,52,84,false
freiburg,scf_lienhart,Philipp Lienhart,Austrian,CB,29,68,68,79,10,65,28,59,64,80,77,10,28,85,false
bremen,svw_stage,Jens Stage,Danish,CM,28,77,77,79,10,61,76,74,77,77,80,18,35,82,false
gladbach,gladbach_nicolas,Moritz Nicolas,German,GK,27,10,11,13,79,84,80,77,79,21,78,8.5,22,80,false
frankfurt,sge_koch,Robin Koch,German,CB,29,71,70,79,10,63,44,62,65,80,82,18,48,83,false
leipzig,leipzig_baku,Ridle Baku,German,RB,27,79,79,79,10,83,72,75,80,75,76,9.9,25,79,false
leverkusen,leverkusen_tillman,Malik Tillman,United States,CAM,23,79,79,73,10,67,77,77,80,67,76,17.3,33,84,false
dortmund,dortmund_svensson,Daniel Svensson,Swedish,LB,23,78,79,79,10,75,60,76,77,75,75,17.3,33,84,false
freiburg,scf_atubolu,Noah Atubolu,German,GK,23,10,10,12,79,79,74,79,80,55,76,6,14,84,false
bayern,bayern_bischof,Tom Bischof,German,CM,20,78,79,72,10,57,72,80,80,67,68,20.7,33,87,false
bayern,bayern_urbig,Jonas Urbig,German,GK,22,10,11,13,79,79,76,85,79,32,77,13.5,25,84,false
hoffenheim,hoffenheim_asllani,Fisnik Asllani,Kosovan,ST,23,79,77,53,10,65,80,65,78,29,76,12.7,25,83,false
hoffenheim,hoffenheim_avdullahu,Leon Avdullahu,Kosovan,CDM,21,77,79,77,10,69,61,79,78,72,75,5.6,12,81,false
koln,koln_mala,Saïd El Mala,German,LM,19,78,75,57,10,89,78,68,84,41,67,8.6,15,82,false
leipzig,leipzig_romulo,Rômulo,Brazilian,ST,23,78,78,58,10,72,78,69,77,37,81,12.7,25,83,false
schalke_04,schalke_04_dzeko,Edin Džeko,Bosnian,ST,39,78,78,60,10,47,81,73,76,40,75,1,8,78,false
