team_id,player_id,name,nationality,position,age,attack,midfield,defence,goalkeeping,pace,shooting,passing,dribbling,defending,physical,value_millions,wage_thousands,potential,is_wonderkid
west_ham,whu_bowen,Jarrod Bowen,English,RM,28,83,82,64,10,75,81,78,82,46,71,60,138,86,false
wolves,wolves_andre,André,Brazilian,CDM,24,75,77,78,10,57,58,74,77,74,72,5.3,20,83,false
wolves,wolves_jimenez,Raúl Jiménez,Mexican,ST,34,78,78,64,10,54,79,73,73,46,75,2.3,13,78,false
west_ham,man_utd_wanbissaka,Aaron Wan-Bissaka,Congo DR,RB,27,74,74,78,10,79,51,68,73,76,73,51.2,141,86,false
west_ham,west_ham_castellanos,Taty Castellanos,Argentine,ST,24,78,77,61,10,72,78,71,77,45,73,5.3,20,83,false
west_ham,whu_mavropanos,Konstantinos Mavropanos,Greek,CB,27,69,66,78,10,71,56,54,58,78,79,20,62,80,false
wolves,wolves_krejci,Ladislav Krejčí,Czech,CB,24,76,74,78,10,71,68,68,68,76,84,5.3,20,83,false
west_ham,west_ham_diouf,El Hadji Malick Diouf,Senegalese,LB,24,77,77,78,10,79,67,73,75,74,75,5.3,20,83,false
wolves,wolves_trippier,Kieran Trippier,English,RB,34,73,77,76,10,54,63,82,74,78,66,3.6,17,85,false
burnley,bur_cullen,Josh Cullen,Irish,CDM,29,74,77,77,10,53,63,75,74,74,69,8,32,77,false
southampton,arsenal_ramsdale,Aaron Ramsdale,English,GK,27,10,11,13,77,77,76,80,79,54,74,38.6,109,84,false
burnley,burnley_florentino,Florentino,Portuguese,CDM,24,68,71,77,10,48,53,68,72,78,74,4.9,19,82,false
west_ham,whu_alvarez,Edson Álvarez,Mexican,CDM,27,69,71,77,10,66,58,68,72,78,82,40,118,83,false
burnley,man_city_walker,Kyle Walker,English,RB,35,75,74,76,10,81,63,72,71,73,76,10.9,85,84,false
west_ham,west_ham_fullkrug,Niclas Füllkrug,German,ST,24,76,75,60,10,46,79,70,71,43,73,4.6,18,81,false
west_ham,sou_walker4,Kyle Walker-Peters,English,RB,27,72,74,76,10,76,47,68,76,73,64,3,12,80,false
wolves,wolves_munetsi,Marshall Munetsi,Zimbabwean,CM,24,73,74,76,10,65,71,70,70,74,78,4.6,18,81,false
west_ham,west_ham_soucek,Tomáš Souček,Czech,CDM,30,69,71,76,10,38,72,69,65,77,78,3.3,14,79,false
wolves,wolves_bueno2,Santiago Bueno,Uruguayan,CB,26,65,64,76,10,50,31,56,56,77,77,3.7,14,81,false
burnley,burnley_flemming,Zian Flemming,Holland,ST,24,76,75,66,10,66,79,71,72,55,82,4.6,18,81,false
birmingham,alaves_vicente,Carlos Vicente,Spanish,RM,26,76,74,56,10,79,72,74,75,40,64,10.9,29,77,false
west_ham,west_ham_todibo,Jean-Clair Todibo,French,CB,24,70,69,76,10,74,47,62,66,76,75,4.6,18,81,false
middlesbrough,middlesbrough_berhalter,Sebastian Berhalter,United States,CDM,24,75,76,75,10,71,65,77,70,69,78,4.6,18,81,false
swansea,swa_vipotnik,Žan Vipotnik,Slovenian,ST,22,76,72,48,10,67,79,60,70,23,70,4,16,84,false
west_ham,whu_areola,Alphonse Areola,French,GK,32,10,10,12,75,75,74,72,76,44,75,10,48,80,false
wolves,wol_sa,José Sá,Portuguese,GK,32,14,14,18,75,76,74,70,76,51,73,20,68,83,false
southampton,southampton_larin,Cyle Larin,Canadian,ST,24,75,73,51,10,70,75,66,70,28,77,4.3,17,80,false
sheffield_utd,shu_vieira,Gustavo Hamer,Holland,LM,28,75,75,73,10,70,73,78,75,72,74,3,14,80,false
burnley,burnley_edwards,Marcus Edwards,English,RM,24,75,73,48,10,80,68,70,80,30,44,4.3,17,80,false
