team_id,player_id,name,nationality,position,age,attack,midfield,defence,goalkeeping,pace,shooting,passing,dribbling,defending,physical,value_millions,wage_thousands,potential,is_wonderkid
ajax,bar_ter_stegen,Marc-André ter Stegen,German,GK,33,14,16,20,82,81,82,85,82,44,81,58,195,88,false
ajax,bvb_brandt,Julian Brandt,German,CAM,29,82,81,61,10,69,77,83,84,45,69,28,72,84,false
psv,hee_veerman,Joey Veerman,Holland,CM,26,81,82,75,10,48,74,84,77,66,71,15,38,82,false
psv,psv_perisic,Ivan Perišić,Croatian,LW,24,81,81,74,10,74,80,81,79,68,77,25,56,86,false
psv,psv_junior,Mauro Júnior,Brazilian,LB,24,78,81,80,10,83,66,76,82,76,60,25,56,86,false
psv,psv_schouten,Jerdy Schouten,Holland,CB,24,75,77,80,10,57,59,74,78,81,74,21.7,49,85,false
nec,nec_tadic,Dušan Tadić,Serbian,CAM,24,79,79,59,10,56,75,84,80,43,74,18.9,44,84,false
psv,psv_dest,Sergiño Dest,United States,RB,25,79,79,78,10,87,60,75,83,72,75,20,55,80,false
psv,psv_til,Guus Til,Holland,CAM,27,78,77,72,10,79,77,74,74,65,76,20,55,78,false
az,az_parrott,Troy Parrott,Irish,ST,24,78,76,60,10,74,78,66,77,45,74,16.4,39,83,false
feyenoord,feyenoord_watanabe,Tsuyoshi Watanabe,Japanese,CB,24,67,65,78,10,74,39,53,61,79,78,16.4,39,83,false
psv,psv_pepi,Ricardo Pepi,United States,ST,22,78,75,62,10,71,80,61,73,46,73,28,45,86,true
feyenoord,fey_ueda,Ayase Ueda,Japanese,ST,26,78,75,53,10,74,78,62,73,30,73,18,42,82,false
ajax,ajax_godts,Mika Godts,Belgian,LW,24,78,77,57,10,83,72,71,84,42,65,16.4,39,83,false
ajax,ajax_baas,Youri Baas,Holland,CB,24,72,74,78,10,73,41,72,74,79,73,16.4,39,83,false
ajax,ajax_leonardo,Marcos Leonardo,Brazilian,ST,24,78,74,50,10,77,77,60,73,27,66,16.4,39,83,false
feyenoord,feyenoord_moussa,Anis Hadj Moussa,Algerian,RW,24,77,75,49,10,79,74,69,84,31,61,14.2,34,82,false
az,az_clasie,Jordy Clasie,Holland,CDM,33,74,77,74,10,43,63,79,75,70,67,6,35,78,false
psv,psv_plea,Alassane Pléa,French,ST,24,77,77,54,10,73,78,80,79,38,69,14.2,34,82,false
twente,twente_weghorst,Wout Weghorst,Holland,ST,24,77,76,73,10,54,78,61,62,57,85,14.2,34,82,false
ajax,ajax_dolberg,Kasper Dolberg,Danish,ST,24,77,74,51,10,68,78,66,75,30,67,14.2,34,82,false
ajax,mon_caio_henrique,Caio Henrique,Brazilian,LB,28,75,77,75,10,77,58,77,77,72,66,18,42,78,false
psv,psv_man,Dennis Man,Romanian,RW,24,77,76,59,10,88,74,71,78,45,72,14.2,34,82,false
psv,psv_kovar,Matěj Kovář,Czech,GK,24,10,11,13,77,76,76,78,77,30,77,14.2,34,82,false
feyenoord,twe_hilal,Sem Steijn,Holland,CAM,23,77,75,58,10,67,82,74,76,43,70,14,35,82,true
psv,spa_abels,Sven Mijnans,Holland,CAM,26,76,77,71,10,52,71,77,77,65,73,8,20,80,false
feyenoord,feyenoord_valente,Luciano Valente,Holland,CM,24,77,77,70,10,71,67,78,79,62,75,14.2,34,82,false
az,az_goes,Wouter Goes,Holland,CB,24,68,67,77,10,60,31,58,67,77,81,14.2,34,82,false
ajax,ajax_gloukh,Oscar Gloukh,Israeli,CAM,24,77,75,51,10,72,74,73,82,34,49,14.2,34,82,false
nec,nec_sano,Kodai Sano,Japanese,CM,24,76,77,74,10,67,62,75,81,70,68,14.2,34,82,false
psv,psv_yarek,Yarek,Spanish,CB,24,71,70,77,10,70,52,65,68,77,76,14.2,34,82,false
twente,twe_unnerstall,Lars Unnerstall,German,GK,33,10,10,12,76,76,75,65,79,32,76,5,32,78,false
ajax,ajx_berghuis,Steven Berghuis,Holland,RW,33,75,76,56,10,62,75,84,76,42,66,12,65,79,false
ajax,ajax_klaassen,Davy Klaassen,Holland,CM,24,73,74,76,10,41,77,72,70,74,75,12.3,31,81,false
ajax,ajax_itakura,Ko Itakura,Japanese,CB,24,72,71,76,10,65,56,62,73,76,75,12.3,31,81,false
az,fey_stengs,Calvin Stengs,Holland,CAM,26,76,76,63,10,64,68,77,77,50,67,18,48,83,false
nec,nec_schuurs,Perr Schuurs,Holland,CB,24,70,71,76,10,68,64,71,66,78,68,12.3,31,81,false
ajax,ajx_sutalo,Josip Šutalo,Croatian,CB,24,70,70,76,10,72,32,63,71,75,78,18,42,84,true
feyenoord,feyenoord_bos,Jordan Bos,Australian,LB,24,76,74,75,10,90,65,68,75,69,80,12.3,31,81,false
twente,twe_bijen,Bart van Rooij,Holland,RB,27,76,74,76,10,87,51,68,71,69,77,8,25,77,false
nec,nec_nejasmic,Darko Nejašmić,Croatian,CDM,24,68,71,76,10,60,49,65,69,71,78,12.3,31,81,false
feyenoord,feyenoord_targhalline,Oussama Targhalline,Moroccan,CDM,24,74,75,76,10,64,64,72,76,74,68,12.3,31,81,false
psv,psv_wanner,Paul Wanner,Austrian,CAM,24,76,76,67,10,72,66,74,77,57,66,12.3,31,81,false
psv,psv_flamingo,Ryan Flamingo,Holland,CB,21,72,71,76,10,61,63,66,67,75,78,18,38,88,true
feyenoord,feyenoord_read,Givairo Read,Holland,RB,24,75,75,76,10,79,56,70,73,71,75,12.3,31,81,false
az,az_smit2,Kees Smit,Holland,CM,24,73,75,70,10,59,63,74,79,65,69,10.7,27,80,false
ajax,ajx_blind,Daley Blind,Holland,CB,35,70,75,72,10,34,62,82,75,77,68,8,45,75,false
nec,nec_chery,Tjaronn Chery,Surinamese,CAM,24,75,73,50,10,62,79,75,75,29,71,10.7,27,80,false
psv,spa_hilbers,Nick Olij,Holland,GK,30,10,10,12,75,78,74,60,78,50,73,5,22,76,false
feyenoord,feyenoord_ahmedhodzic,Anel Ahmedhodžić,Bosnian,CB,24,67,65,75,10,69,41,59,60,75,80,10.7,27,80,false
utrecht,utrecht_barkas,Vasilios Barkas,Greek,GK,24,10,11,13,75,75,73,71,78,42,73,10.7,27,80,false
feyenoord,nice_vanhoutte,Charles Vanhoutte,Belgian,CDM,26,72,74,75,10,52,65,73,71,72,78,10,23,78,false
ajax,ajax_arokodare,Tolu Arokodare,Nigerian,ST,24,75,72,55,10,76,74,56,65,31,82,10.7,27,80,false
utrecht,utrecht_cathline,Yoann Cathline,French,LW,24,75,74,58,10,83,70,67,78,45,66,10.7,27,80,false
feyenoord,feyenoord_marmol,Mika Mármol,Spanish,CB,24,72,71,75,10,85,55,66,73,74,79,10.7,27,80,false
nec,nec_ouaissa,Sami Ouaissa,Holland,RM,24,74,71,56,10,83,66,66,77,40,68,9.3,24,79,false
nec,nec_linssen,Bryan Linssen,Holland,ST,24,74,74,60,10,60,74,71,73,46,69,9.3,24,79,false
feyenoord,feyenoord_juste,Jeremiah St. Juste,Holland,CB,24,70,69,74,10,89,57,65,71,74,74,9.3,24,79,false
psv,psv_drommel,Joël Drommel,Holland,GK,28,10,10,12,74,74,72,75,76,51,74,8,30,78,false
utrecht,utrecht_wit,Dani de Wit,Holland,CM,24,72,73,74,10,48,75,69,70,71,80,9.3,24,79,false
go_ahead,go_ahead_meulensteen,Melle Meulensteen,Holland,CDM,24,71,71,74,10,65,67,68,71,72,76,9.3,24,79,false
feyenoord,feyenoord_moder,Jakub Moder,Polish,CM,24,73,74,72,10,55,70,74,72,67,77,9.3,24,79,false
psv,psv_obispo,Armando Obispo,Curaçaoan,CB,24,68,67,74,10,65,43,60,66,73,73,9.3,24,79,false
fortuna,fortuna_ihattaren,Mohamed Ihattaren,Moroccan,CAM,24,74,74,56,10,64,71,75,76,41,70,9.3,24,79,false
twente,twente_zerrouki,Ramiz Zerrouki,Algerian,CDM,24,73,74,74,10,56,66,71,73,68,79,9.3,24,79,false
nec,nec_crettaz,Gonzalo Crettaz,Argentine,GK,24,10,11,13,74,72,72,73,76,57,73,9.3,24,79,false
az,az_koopmeiners,Peer Koopmeiners,Holland,CDM,24,68,71,74,10,60,54,73,65,72,75,9.3,24,79,false
ajax,ajax_kaplan,Ahmetcan Kaplan,Turkish,CB,24,66,65,74,10,62,30,58,59,74,78,9.3,24,79,false
az,az_meerdink,Mexx Meerdink,Holland,ST,24,74,73,54,10,69,72,58,73,32,78,9.3,24,79,false
psv,psv_bajraktarevic,Esmir Bajraktarević,Bosnian,RW,24,74,74,57,10,78,66,69,79,44,61,9.3,24,79,false
psv,psv_bommel,Ruben van Bommel,Holland,LW,24,74,72,46,10,86,70,65,76,25,68,9.3,24,79,false
feyenoord,feyenoord_zechiel,Gjivai Zechiël,Holland,CM,24,74,74,73,10,75,67,68,75,69,71,9.3,24,79,false
ajax,ajax_carrizo,Maher Carrizo,Argentine,RW,24,74,74,56,10,86,69,66,78,42,71,9.3,24,79,false
utrecht,utrecht_overeem,Joris van Overeem,Holland,CDM,24,71,73,72,10,64,58,70,75,69,64,8.1,21,79,false
go_ahead,nec_bokila,Joris Kramer,Holland,CB,28,65,63,73,10,59,36,57,56,74,76,5,18,73,false
nec,nec_sandler,Philippe Sandler,Holland,CB,24,70,71,73,10,68,44,70,69,72,77,8.1,21,79,false
feyenoord,fey_lotomba,Jordan Lotomba,Swiss,RB,27,69,70,73,10,71,48,65,71,72,69,10,35,74,false
az,az_busser,Jari De Busser,Belgian,GK,24,10,11,13,73,75,70,65,76,24,71,8.1,21,79,false
feyenoord,feyenoord_smal,Gijs Smal,Holland,LB,24,72,73,71,10,68,61,75,70,69,70,8.1,21,79,false
heerenveen,heerenveen_trenskow,Jacob Trenskow,Danish,RW,24,73,71,57,10,75,70,69,75,48,51,8.1,21,79,false
