team_id,player_id,name,nationality,position,age,attack,midfield,defence,goalkeeping,pace,shooting,passing,dribbling,defending,physical,value_millions,wage_thousands,potential,is_wonderkid
real_madrid,rma_mbappe,Kylian Mbappé,French,ST,26,91,88,54,10,96,91,80,92,29,76,250,520,93,false
barcelona,bar_yamal,Lamine Yamal,Spanish,RW,18,90,88,59,10,86,84,87,93,38,61,280,195,94,true
real_madrid,rma_courtois,Thibaut Courtois,Belgian,GK,33,14,16,20,90,87,89,78,90,46,90,70,220,90,false
barcelona,bar_pedri,Pedri,Spanish,CM,22,88,90,83,10,76,75,89,91,77,75,155,285,92,false
real_madrid,rma_bellingham,Jude Bellingham,English,CAM,22,90,90,87,10,79,86,83,88,79,85,220,310,93,true
real_madrid,real_madrid_jr,Vini Jr.,Brazilian,LW,24,89,86,55,10,93,85,80,91,31,71,127.5,212,93,false
barcelona,bar_raphinha,Raphinha,Brazilian,LW,28,88,86,68,10,91,86,85,87,54,76,88,195,88,false
atletico,atm_oblak,Jan Oblak,Slovenian,GK,32,14,16,20,88,85,90,79,87,46,86,62,195,88,false
real_madrid,rma_valverde,Federico Valverde,Uruguayan,CM,27,87,86,86,10,90,84,83,81,81,85,125,285,88,false
atletico,atm_alvarez,Julián Alvarez,Argentine,ST,25,86,85,69,10,86,86,82,87,58,77,95,185,91,false
barcelona,bar_cubarsi,Pau Cubarsí,Spanish,CB,18,78,78,86,10,78,44,69,77,85,81,72,55,92,true
real_madrid,real_madrid_cucurella2,Cucurella,Spanish,LB,24,82,83,86,10,75,64,79,78,84,78,82.3,146,90,false
barcelona,bar_joan_garcia,Joan García,Spanish,GK,24,10,12,16,86,85,85,80,88,46,84,18,45,86,false
barcelona,bar_de_jong,Frenkie de Jong,Holland,CM,28,85,86,83,10,77,70,85,84,77,77,95,225,88,false
atletico,atletico_grimaldo,Grimaldo,Spanish,LM,24,84,85,77,10,73,77,87,85,72,65,71.2,129,89,false
atletico,atm_llorente,Marcos Llorente,Spanish,RB,30,85,84,84,10,91,79,80,82,79,83,38,115,85,false
athletic_bilbao,ath_simon,Unai Simón,Spanish,GK,28,12,14,18,85,84,81,76,85,49,82,32,78,85,false
barcelona,barcelona_kounde2,Jules Koundé,French,RB,24,80,80,85,10,82,53,74,78,83,83,71.2,129,89,false
barcelona,bar_eric_garcia,Eric García,Spanish,CB,24,79,80,85,10,79,58,77,76,86,82,22,42,89,false
barcelona,barcelona_fermin,Fermín,Spanish,CAM,24,85,84,73,10,81,84,80,84,63,72,71.2,129,89,false
athletic_bilbao,athletic_bilbao_laporte,Aymeric Laporte,Spanish,CB,24,76,78,84,10,53,52,76,70,85,79,61.5,114,88,false
real_madrid,real_madrid_silva,Bernardo Silva,Portuguese,CM,24,82,84,76,10,50,77,84,87,71,65,61.5,114,88,false
real_sociedad,real_sociedad_oyarzabal,Oyarzabal,Spanish,ST,24,84,83,62,10,71,86,81,84,45,74,61.5,114,88,false
real_madrid,rma_taa,Trent Alexander-Arnold,English,RB,26,81,84,79,10,75,72,89,80,77,72,85,195,89,false
real_madrid,real_madrid_konate,Ibrahima Konaté,French,CB,26,74,73,84,10,77,34,65,68,84,85,42.9,95,86,false
real_madrid,rma_militao,Éder Militão,Brazilian,CB,27,77,76,84,10,79,54,71,72,85,82,72,185,86,false
barcelona,bar_ferran,Ferran Torres,Spanish,ST,25,84,82,59,10,88,84,78,82,40,74,58,125,85,false
real_madrid,rma_tchouameni,Aurélien Tchouaméni,French,CDM,25,79,81,84,10,74,70,79,77,83,82,105,185,90,false
real_madrid,rma_rodrygo,Rodrygo,Brazilian,LW,24,84,83,55,10,87,77,79,87,33,63,125,225,89,false
barcelona,bar_olmo,Dani Olmo,Spanish,CAM,27,84,83,65,10,74,79,82,85,51,59,92,195,86,false
athletic_bilbao,ath_williams_n,Nico Williams,Spanish,LW,23,84,83,57,10,93,77,79,86,37,67,68,95,90,false
real_betis,bet_isco,Isco,Spanish,CAM,33,82,83,68,10,57,78,85,86,59,60,14,105,83,false
real_madrid,rma_rudiger,Antonio Rüdiger,German,CB,32,76,75,83,10,75,54,71,69,83,85,42,165,85,false
atletico,atm_sorloth,Alexander Sørloth,Norwegian,ST,29,83,82,61,10,75,83,71,74,37,83,42,105,83,false
atletico,atletico_lookman,Ademola Lookman,Nigerian,ST,24,83,80,52,10,86,83,73,84,32,68,53.2,100,87,false
real_madrid,real_madrid_dumfries,Denzel Dumfries,Holland,RB,24,83,81,83,10,82,70,74,79,78,87,53.2,100,87,false
atletico,atletico_hjulmand,Morten Hjulmand,Danish,CDM,24,81,81,83,10,70,76,78,77,80,84,53.2,100,87,false
atletico,atletico_hancko,Dávid Hancko,Slovak,CB,27,79,79,83,10,77,67,74,75,83,84,46.4,107,84,false
atletico,atletico_baena,Álex Baena,Spanish,LM,24,83,83,74,10,78,75,83,82,66,68,27.4,59,86,false
barcelona,bar_gavi,Gavi,Spanish,CM,21,82,83,77,10,76,66,78,85,68,70,145,255,90,true
real_madrid,rma_guler,Arda Güler,Turkish,RM,20,83,82,65,10,77,79,85,84,55,57,72,75,88,true
atletico,atm_barrios,Pablo Barrios,Spanish,CM,22,82,83,81,10,80,71,78,83,75,78,28,35,87,false
villarreal,rbl_gulacsi,Péter Gulácsi,Hungarian,GK,35,10,12,16,82,81,81,71,81,43,85,10,52,84,false
osasuna,osa_budimir,Ante Budimir,Croatian,ST,34,82,79,61,10,65,83,63,74,36,81,16,58,82,false
atletico,atm_musso,Juan Musso,Argentine,GK,31,12,14,18,82,80,82,73,83,46,81,18,75,82,false
atletico,atm_gimenez,José María Giménez,Uruguayan,CB,30,71,70,82,10,68,46,60,62,83,80,52,155,84,false
barcelona,barcelona_gordon,Anthony Gordon,English,LW,24,82,81,64,10,91,78,77,82,50,71,36,75,82,false
athletic_bilbao,athletic_bilbao_sancet,Sancet,Spanish,CAM,24,82,82,76,10,75,80,80,84,69,81,46,89,86,false
athletic_bilbao,athletic_bilbao_vivian,Vivian,Spanish,CB,24,73,71,82,10,76,50,61,68,82,83,46,89,86,false
barcelona,barcelona_adeyemi,Karim Adeyemi,German,RM,23,82,79,57,10,95,80,72,82,36,69,49.3,95,86,false
atletico,atm_giuliano,Giuliano,Argentine,RM,22,82,80,71,10,92,76,75,80,57,83,16,32,82,false
barcelona,barcelona_balde,Balde,Spanish,LB,24,79,81,82,10,90,52,75,79,77,69,46,89,86,false
villarreal,villarreal_moleiro2,Moleiro,Spanish,LM,24,82,80,65,10,86,76,77,84,51,68,46,89,86,false
barcelona,barcelona_szczesny,Wojciech Szczęsny,Polish,GK,35,10,11,13,81,78,79,74,81,36,82,17.5,85,82,false
celta_vigo,cel_aspas,Iago Aspas,Spanish,RW,38,81,79,53,10,72,84,81,83,37,62,8,85,85,false
atletico,atm_koke,Koke,Spanish,CM,33,78,81,78,10,50,72,84,77,76,77,18,115,84,false
villarreal,vil_gerard,Gerard Moreno,Spanish,ST,33,81,80,62,10,76,82,77,80,48,73,12,82,83,false
rayo_vallecano,ray_garcia_a,Álvaro García,Spanish,LW,32,81,78,61,10,88,77,78,79,51,45,6,22,81,false
villarreal,villarreal_pepe,Nicolas Pépé,Ivorian,RW,30,81,79,55,10,87,80,75,84,37,69,18.9,59,81,false
real_betis,real_betis_fornals,Fornals,Spanish,CM,24,80,81,77,10,66,75,83,80,74,72,39.8,78,86,false
real_sociedad,rso_remiro,Álex Remiro,Spanish,GK,30,12,14,18,81,81,78,80,82,45,79,28,75,84,false
real_madrid,rma_brahim,Brahim,Moroccan,RM,26,81,79,55,10,80,73,78,84,33,63,42,75,83,false
atletico,atm_le_normand,Robin Le Normand,Spanish,CB,28,70,69,81,10,66,31,60,63,81,80,48,105,85,false
rayo_vallecano,rayo_vallecano_frutos2,De Frutos,Spanish,RW,24,81,79,61,10,82,81,76,81,47,72,39.8,78,86,false
real_madrid,rma_camavinga,Eduardo Camavinga,French,CM,22,80,81,81,10,79,67,80,82,78,80,115,165,90,false
real_betis,mun_antony,Antony,Brazilian,RW,25,81,80,61,10,85,81,79,82,48,71,35,195,85,false
real_betis,real_betis_abde,Abde,Moroccan,LW,24,81,79,56,10,89,75,73,84,37,70,39.8,78,86,false
atletico,atletico_pubill2,Pubill,Spanish,CB,24,76,75,81,10,79,56,71,74,81,82,39.8,78,86,false
real_madrid,rma_carreras,Álvaro Carreras,Spanish,LB,22,81,81,80,10,86,66,77,80,75,81,35,65,83,false
real_madrid,rma_huijsen,Dean Huijsen,Spanish,CB,20,74,75,81,10,72,55,72,72,82,77,42,55,87,true
villarreal,villarreal_ayoze,Ayoze,Spanish,ST,24,80,78,66,10,81,81,78,81,59,66,34.4,69,85,false
