team_id,name,short_name,crest,league,stadium,stadium_capacity,budget_millions,reputation,primary_color
real_madrid,Real Madrid,RMA,👑,La Liga,Santiago Bernabéu,85454,250,99,#FFFFFF
barcelona,Barcelona,BAR,🔵🔴,La Liga,Spotify Camp Nou,99354,180,97,#A50044
atletico,Atlético Madrid,ATM,🔴⚪,La Liga,Civitas Metropolitano,68456,120,90,#CB3524
real_sociedad,Real Sociedad,RSO,🔵⚪,La Liga,Reale Arena,39500,55,80,#003DA5
athletic_bilbao,Athletic Club,ATH,🔴⚪,La Liga,San Mamés,53289,48,80,#EE2523
real_betis,Real Betis,BET,🟢⚪,La Liga,Benito Villamarín,60720,65,78,#00954C
villarreal,Villarreal CF,VIL,🟡,La Liga,Estadio de la Cerámica,23500,55,79,#FFE900
celta_vigo,Celta Vigo,CEL,🔵⚪,La Liga,Estadio ABANCA Balaídos,29000,38,72,#8AC3EE
sevilla,Sevilla FC,SEV,⚪🔴,La Liga,Ramón Sánchez-Pizjuán,43883,52,76,#D4021D
valencia,Valencia CF,VAL,🦇,La Liga,Camp de Mestalla,49430,42,75,#EE2523
rayo_vallecano,Rayo Vallecano,RAY,🔴⚪,La Liga,Campo de Vallecas,14708,22,66,#E53027
osasuna,CA Osasuna,OSA,🔴,La Liga,Estadio El Sadar,23576,28,68,#0A346F
alaves,Deportivo Alavés,ALA,🔵⚪,La Liga,Mendizorrotza,19840,18,62,#003DA5
elche,Elche CF,ELC,🟢,La Liga,Martínez Valero,33732,16,57,#1D6B37
espanyol,RCD Espanyol,ESP,🔵⚪,La Liga,RCDE Stadium,40000,28,68,#007FC8
getafe,Getafe CF,GET,🔵,La Liga,Estadio Coliseum,17700,24,66,#004FA3
levante,Levante UD,LEV,🔵🔴,La Liga,Ciutat de València,25354,18,60,#93272C
racing_santander,Racing Santander,RS,🔵🟢,La Liga,Racing Santander Stadium,17700,18,60,#034694
deportivo_la_coruna,Deportivo La Coruña,DLC,🟠🟢,La Liga,Deportivo La Coruña Stadium,17700,18,60,#F36C21
malaga,Málaga,M,🟤🟢,La Liga,Málaga Stadium,17700,18,60,#7B3F00
