team_id,player_id,name,nationality,position,age,attack,midfield,defence,goalkeeping,pace,shooting,passing,dribbling,defending,physical,value_millions,wage_thousands,potential,is_wonderkid
leicester,lei_faes,Wout Faes,Belgian,CB,27,65,64,74,10,50,39,54,60,74,75,4,14,82,false
sheffield_wed,shw_bannan,Barry Bannan,Scottish,CM,35,70,72,64,10,44,63,75,74,60,59,4,22,78,false
leicester,leicester_souttar,Harry Souttar,Australian,CB,24,62,61,72,10,45,28,51,53,71,74,1.7,9,78,false
sheffield_wed,sheffield_wed_liongola,Jordi Liongola,Burundian,RM,24,71,69,49,10,65,69,68,71,30,68,1.6,9,77,false
wycombe,wycombe_cook,Steve Cook,English,CB,34,63,63,71,10,33,34,55,56,72,76,1.2,7,71,false
oxford,oxf_brannagan,Cameron Brannagan,English,CDM,29,71,71,67,10,64,72,72,71,64,75,3,14,74,false
leicester,ips_chaplin2,Conor Chaplin,English,CAM,28,71,69,56,10,74,71,67,73,46,56,2,12,73,false
sheffield_wed,sheffield_wed_valery,Yan Valery,Tunisian,RB,24,68,67,71,10,63,52,63,69,70,75,1.6,9,77,false
leicester,leicester_skipp,Oliver Skipp,English,CDM,24,64,67,71,10,55,47,64,67,69,69,1.6,9,77,false
oxford,oxford_keersmaecker,Brian De Keersmaecker,Belgian,CDM,25,71,71,71,10,74,61,70,68,66,73,1.6,9,76,false
leicester,leicester_coulibaly,Woyo Coulibaly,Malian,RB,24,69,69,71,10,73,52,66,71,69,71,1.6,9,77,false
sheffield_wed,millwall_mitchell,Billy Mitchell,English,CDM,23,68,69,71,10,66,57,65,67,67,71,1.8,9,72,false
oxford,oxford_kent,Frankie Kent,English,CB,24,63,61,70,10,59,30,51,59,68,79,1.6,8,76,false
leicester,leicester_mavididi,Stephy Mavididi,English,LM,27,70,67,48,10,81,64,64,71,28,66,1.7,9,74,false
mk_dons,mk_dons_barlaser,Daniel Barlaser,English,CDM,24,68,70,68,10,44,62,71,66,65,69,1.6,8,76,false
mk_dons,cardiff_wintle,Ryan Wintle,English,CDM,27,67,68,70,10,67,57,66,66,68,69,2,10,72,false
leicester,leicester_stolarczyk,Jakub Stolarczyk,Polish,GK,24,10,11,13,70,71,65,64,71,36,68,1.3,7,73,false
oxford,oxford_woo,Jeon Jin Woo,Korea Republic,RM,24,70,67,51,10,88,64,61,73,35,61,1.6,8,76,false
leyton_orient,leyton_orient_ballard,Dom Ballard,English,ST,24,70,66,46,10,78,71,54,68,28,63,1.6,8,76,false
stockport,stockport_norwood,Oliver Norwood,Northern Irish,CM,34,67,69,68,10,33,63,73,64,66,63,1.3,8,74,false
luton,luton_clark,Jordan Clark,English,CM,30,68,69,66,10,67,63,70,71,64,68,1.1,7,69,false
leicester,fulham_cordovareid,Bobby De Cordova-Reid,Jamaican,CAM,32,69,69,63,10,65,68,68,71,59,58,7.1,40,77,false
luton,luton_saville,George Saville,Northern Irish,CDM,32,68,69,69,10,57,63,67,66,66,71,1.1,7,69,false
leyton_orient,leyton_orient_hayden,Isaac Hayden,Jamaican,CDM,24,63,65,69,10,46,57,61,65,68,74,1.5,8,75,false
sheffield_wed,sheffield_wed_lowe,Jamal Lowe,Jamaican,ST,24,69,68,53,10,82,67,61,70,40,71,1.5,8,75,false
sheffield_wed,sheffield_wed_lowe2,Max Lowe,English,CB,24,66,66,69,10,76,49,64,69,69,69,1.5,8,75,false
sheffield_wed,sheffield_wed_lumley,Joe Lumley,English,GK,24,10,11,13,69,69,66,72,70,44,68,1.5,8,75,false
oxford,oxford_helik2,Michał Helik,Polish,CB,24,64,60,69,10,53,55,47,54,68,80,1.5,8,75,false
luton,coventry_palmer,Kasey Palmer,Jamaican,CAM,28,69,69,60,10,63,66,70,72,52,71,1.8,8,72,false
luton,luton_walsh,Liam Walsh,English,CM,27,69,69,64,10,62,63,70,73,59,66,1.1,7,71,false
leicester,leicester_choudhury,Hamza Choudhury,Bangladesh,RB,27,65,65,69,10,61,50,63,64,70,73,1,6,72,false
luton,luton_andersen,Mads Juel Andersen,Danish,CB,26,61,58,69,10,37,34,46,49,67,80,1.9,9,78,false
leicester,swansea_cullen,Liam Cullen,Welsh,CAM,25,69,67,49,10,76,69,64,69,31,66,2.3,11,74,false
reading,reading_wing,Lewis Wing,English,CM,30,69,69,69,10,53,70,70,64,65,78,1.6,8,71,false
plymouth,plymouth_baidoo,Michael Baidoo,Ghanaian,CAM,24,69,68,61,10,78,64,63,70,52,63,1.5,8,75,false
oxford,oxf_bishop2,Ciaron Brown,Northern Irish,CB,27,64,62,69,10,65,46,56,60,69,75,2,10,70,false
leicester,leicester_okoli,Caleb Okoli,Italian,CB,24,60,58,69,10,55,30,45,55,68,76,1.5,8,75,false
leicester,sou_mccarthy,Alex McCarthy,English,GK,35,10,10,12,68,69,67,62,70,45,66,3,25,75,false
sheffield_wed,sheffield_wed_cooper,Liam Cooper,Scottish,CB,24,61,61,68,10,35,35,53,55,68,71,1.4,8,74,false
mansfield,sheffield_wed_smith,Michael Smith,English,ST,33,68,67,53,10,41,70,56,59,30,78,1.4,8,71,false
sheffield_wed,sheffield_wed_palmer,Liam Palmer,Scottish,CB,24,67,66,68,10,66,59,65,65,67,74,1.4,8,74,false
wigan,wigan_power,Max Power,English,CM,24,67,68,68,10,52,62,68,65,65,77,1.4,8,74,false
stevenage,stevenage_piergianni,Carl Piergianni,English,CB,33,60,56,68,10,34,31,45,46,67,86,1.2,7,68,false
oxford,oxford_vaulks,Will Vaulks,Welsh,CDM,31,64,66,68,10,50,62,65,62,66,75,1.4,8,69,false
stockport,stockport_osborn,Ben Osborn,English,CM,31,68,68,64,10,62,64,70,70,63,59,0.9,6,68,false
huddersfield,huddersfield_whatmough,Jack Whatmough,English,CB,24,61,59,68,10,47,26,49,57,67,78,1.4,8,74,false
oxford,oxford_leigh,Greg Leigh,Jamaican,LB,30,67,65,68,10,73,59,60,65,65,74,1.3,7,68,false
reading,reading_marriott,Jack Marriott,English,ST,30,68,65,43,10,81,70,53,66,25,65,1.3,7,68,false
huddersfield,huddersfield_ledson,Ryan Ledson,English,CM,24,67,68,68,10,60,58,67,67,64,73,1.4,8,74,false
stockport,sto_southam,Kyle Wootton,English,ST,29,68,68,67,10,68,66,52,64,58,86,2,8,69,false
luton,luton_yates,Jerry Yates,English,ST,29,68,66,46,10,75,68,56,69,29,69,1.5,8,69,false
bradford,charlton_gillesphey,Macaulay Gillesphey,English,CB,29,63,61,68,10,53,48,54,55,69,75,1.9,10,68,false
sheffield_wed,sheffield_wed_slattery,Callum Slattery,English,CM,24,68,68,66,10,70,63,66,68,61,73,1.4,8,74,false
luton,rot2_odoffin,Hakeem Odoffin,English,CB,26,64,62,68,10,68,50,57,59,67,75,1,7,72,false
oxford,oxford_harris,Mark Harris,Welsh,ST,24,68,67,56,10,82,66,62,69,48,69,1.4,8,74,false
oxford,oxf_gk2,Jamie Cumming,English,GK,25,10,11,13,68,68,67,67,68,47,67,1,7,70,false
luton,luton_johnston,George Johnston,Scottish,CB,24,63,60,68,10,63,36,53,61,67,78,1.4,8,74,false
bradford,bradford_mccracken,Jon McCracken,Scottish,GK,24,10,11,13,68,69,67,62,69,35,67,1.4,8,74,false
leicester,leicester_vieites,Fran Vieites,Spanish,GK,24,10,11,13,68,68,66,69,68,34,66,1.4,8,74,false
doncaster,doncaster_bailey,Owen Bailey,English,CM,26,67,67,68,10,60,65,63,66,64,81,1.5,8,73,false
mk_dons,mk_dons_silvera,Samuel Silvera,Australian,LM,24,68,66,55,10,72,62,63,70,43,61,1.4,8,74,false
blackpool,blackpool_clarkson,Leighton Clarkson,English,CAM,24,68,68,62,10,66,66,69,70,60,56,1.4,8,74,false
sheffield_wed,sheffield_wed_bernard,Di'Shon Bernard,Jamaican,CB,24,63,61,68,10,64,40,53,59,67,74,1.4,8,74,false
luton,middlesbrough_jones,Isaiah Jones,Guyanese,RB,25,67,68,67,10,81,56,64,69,63,58,2.2,11,73,false
luton,luton_mengi,Teden Mengi,English,CB,23,63,61,68,10,76,39,54,62,67,74,1.4,8,77,false
leicester,brr_thomas,Luke Thomas,English,LB,26,66,67,68,10,69,42,65,66,65,63,1,7,71,false
oxford,oxford_currie,Jack Currie,English,LB,23,65,65,68,10,75,41,58,67,63,63,1.2,7,73,false
