team_id,player_id,name,nationality,position,age,attack,midfield,defence,goalkeeping,pace,shooting,passing,dribbling,defending,physical,value_millions,wage_thousands,potential,is_wonderkid
salford,salford_langstaff,Macaulay Langstaff,English,ST,24,68,66,51,10,78,67,56,67,36,65,1.2,8,74,false
tranmere,watford_ince,Tom Ince,English,CM,33,67,67,61,10,68,66,68,69,57,63,1.7,10,71,false
chesterfield,ley2_pratley,Josh Koroma,Sierra Leonean,RM,26,67,65,52,10,81,64,61,68,39,61,1,4,70,false
exeter,exeter_wareham,Jayden Wareham,English,ST,24,67,66,54,10,73,67,56,64,40,75,1.2,7,73,false
port_vale,norwich_hernandez,Onel Hernández,Cuban,LM,32,66,64,50,10,73,63,61,68,35,72,2,11,71,false
northampton,nor2_hoskins,Sam Hoskins,English,RM,32,66,64,61,10,82,63,60,66,54,72,1,7,66,false
northampton,oxford_moore,Elliott Moore,English,CB,28,59,56,66,10,32,30,46,48,65,80,1.2,7,66,false
salford,don2_thomas4,Luke Molyneux,English,RM,27,66,65,58,10,82,62,61,65,50,61,1,7,68,false
swindon,swindon_drinan,Aaron Drinan,Irish,ST,27,66,64,48,10,82,65,55,65,32,71,1.1,7,68,false
salford,salford_oluwo,Adebola Oluwo,English,CB,26,58,54,65,10,68,30,45,50,63,76,1.3,8,70,false
crawley,crawley_mannone,Vito Mannone,Italian,GK,24,10,11,13,65,65,64,63,64,41,66,1.1,7,72,false
swindon,wycombe_tafazolli,Ryan Tafazolli,English,CB,33,57,55,65,10,39,28,45,48,64,74,1.2,7,66,false
northampton,nor2_turnbull,Jon Guthrie,English,CB,33,61,58,65,10,41,40,51,50,63,80,1,7,66,false
rotherham,rotherham_rafferty,Joe Rafferty,Irish,RB,31,62,62,65,10,61,38,59,61,63,71,1.2,7,66,false
grimsby,grimsby_vernam,Charles Vernam,English,LM,28,65,62,44,10,83,60,60,67,30,46,1.2,7,66,false
colchester,colchester_payne,Jack Payne,English,CAM,24,65,65,55,10,68,63,65,69,51,47,1.1,7,72,false
salford,wigan_aimson,Will Aimson,English,CB,31,59,56,65,10,53,33,48,50,64,72,1.3,8,67,false
salford,sal_grant,Jorge Grant,English,CM,30,65,65,60,10,65,62,67,66,56,65,2,8,66,false
crewe,cre_demetriou,Mickey Demetriou,English,CB,35,62,60,65,10,39,47,55,55,64,76,1,7,67,false
port_vale,rot2_gore,Cameron Humphreys,English,CB,26,59,56,65,10,61,32,49,53,65,72,1,6,72,false
grimsby,gri_green,Kieran Green,English,CM,28,65,65,64,10,62,60,62,63,59,72,2,8,70,false
chesterfield,che_mandeville,Liam Mandeville,English,RM,28,65,64,59,10,73,58,63,62,51,61,1,8,68,false
salford,salford_powell,Joe Powell,English,CM,24,65,64,62,10,73,64,66,66,60,67,1.1,7,72,false
grimsby,grimsby_rodgers,Harvey Rodgers,English,RB,28,63,59,65,10,73,41,52,56,61,76,1.3,8,67,false
exeter,exeter_fitzwater,Jack Fitzwater,English,CB,24,59,56,65,10,62,37,49,52,64,72,1.1,7,72,false
port_vale,port_vale_gabriel,Jordan Gabriel,English,RB,25,63,62,65,10,80,38,55,62,60,66,1,6,66,false
exeter,exeter_cole,Reece Cole,English,CAM,28,65,64,60,10,69,65,65,67,58,69,1.3,8,68,false
fleetwood,fle_hume,Denver Hume,English,LB,26,65,63,64,10,79,37,59,63,57,69,1,6,68,false
port_vale,port_vale_john,Kyle John,English,RB,22,63,62,65,10,76,43,55,64,60,66,1,6,72,false
rotherham,rotherham_hall,Denzel Hall,Holland,RB,24,64,62,65,10,80,50,55,63,60,68,1.1,7,72,false
grimsby,gri_kabia,Jaze Kabia,Irish,ST,25,65,62,51,10,85,64,55,64,42,63,1,7,67,false
barnet,barnet_cox,Matthew Cox,English,GK,24,10,11,13,65,67,63,65,66,30,65,1.1,7,72,false
port_vale,port_vale_hall,Connor Hall,English,CB,27,56,53,65,10,43,27,43,43,65,78,1.4,8,71,false
port_vale,port_vale_hall2,George Hall,English,RM,21,65,64,63,10,88,53,59,65,56,66,1.1,7,75,true
york_city,york_city_pearce,Ollie Pearce,English,ST,28,64,61,46,10,70,64,51,62,31,64,1.4,8,69,false
chesterfield,che_mcfadzean,Kyle McFadzean,English,CB,38,56,54,64,10,31,37,45,44,64,71,1,7,69,false
salford,sal_garbutt,Luke Garbutt,English,CB,32,64,62,64,10,68,53,60,60,62,74,1,8,65,false
swindon,swi_ward_o,Ollie Clarke,English,CM,33,63,64,64,10,54,63,61,63,61,76,1,8,65,false
swindon,swindon_ripley,Connor Ripley,English,GK,32,10,11,13,64,66,63,65,66,27,61,1.2,7,64,false
cheltenham,exe_sweeney,Pierce Sweeney,Irish,CB,30,61,60,64,10,51,44,58,57,63,73,1,7,67,false
gillingham,gil_dack,Bradley Dack,English,CAM,31,64,63,56,10,59,64,65,67,52,57,2,9,68,false
salford,sal_rose,Michael Rose,Scottish,CB,29,60,59,64,10,62,39,55,56,63,67,1,7,67,false
port_vale,port_vale_croasdale,Ryan Croasdale,English,CM,25,63,64,64,10,58,54,61,65,61,60,1,6,64,false
rotherham,wigan_mullin,Paul Mullin,English,ST,30,64,62,50,10,66,66,56,62,39,63,1.4,8,69,false
port_vale,pva2_legge,Kyle Dempsey,English,CM,29,64,64,63,10,71,60,63,65,60,70,1,5,68,false
salford,salford_norris,Will Norris,English,GK,24,10,11,13,64,64,63,63,65,44,63,1.1,7,71,false
fleetwood,fleetwood_cannon,Andy Cannon,English,CM,24,63,64,63,10,69,57,62,66,61,66,1.1,7,71,false
port_vale,port_vale_byers,George Byers,Scottish,CDM,29,64,64,64,10,57,61,60,65,60,64,1.1,7,68,false
cheltenham,cheltenham_mcwilliams,Shaun McWilliams,English,CM,24,64,63,64,10,72,58,61,66,61,75,1.1,7,71,false
cheltenham,cheltenham_stevenson,Ben Stevenson,English,CDM,24,64,64,64,10,63,57,62,65,60,70,1.1,7,71,false
walsall,walsall_sprangler,Sven Sprangler,Austrian,CDM,24,60,61,64,10,65,49,60,62,62,72,1.1,7,71,false
northampton,northampton_mccarthy,Conor McCarthy,Irish,CB,27,58,56,64,10,53,28,52,51,63,74,1.2,7,67,false
colchester,colchester_iandolo,Ellis Iandolo,English,LB,27,64,61,62,10,69,53,61,60,59,76,1.2,7,67,false
gillingham,gillingham_brophy,James Brophy,English,LB,30,64,62,61,10,85,53,60,63,55,70,1.2,7,67,false
walsall,bradford_pattison,Alex Pattison,English,CM,27,64,63,60,10,75,62,62,67,56,64,1.4,8,70,false
chesterfield,leyton_orient_simpson,Jack Simpson,English,CB,28,59,58,64,10,50,37,51,55,63,68,1.2,7,66,false
bristol_rovers,bristol_rovers_kelly,Ciarán Kelly,Irish,CB,24,58,55,64,10,54,34,46,48,62,75,1.1,7,71,false
gillingham,port_vale_gordon,Liam Gordon,Scottish,CB,25,56,53,64,10,34,28,42,46,63,77,1.2,7,69,false
cheltenham,cheltenham_shipley,Jordan Shipley,Irish,CM,24,64,64,61,10,63,64,64,64,58,67,1.1,7,71,false
chesterfield,chesterfield_pearce,Tom Pearce,English,LB,24,63,63,64,10,66,54,62,58,61,66,1.1,7,71,false
grimsby,grimsby_mcjannet,Cameron McJannet,English,CB,26,59,58,64,10,54,39,53,57,64,74,1.3,8,70,false
york_city,colchester_read,Arthur Read,English,CDM,25,64,64,62,10,66,58,64,65,58,68,1.4,9,75,false
barnet,barnet_tavares,Nik Tavares,Croatian,CB,24,57,54,64,10,53,28,43,49,63,75,1.1,7,71,false
northampton,northampton_campbell,Dean Campbell,Scottish,CM,24,64,64,62,10,69,55,64,64,58,65,1.3,8,74,false
chesterfield,middlesbrough_hemming,Zach Hemming,English,GK,25,10,11,13,64,64,62,61,63,28,63,2,10,71,false
crewe,doncaster_gibson,Jordan Gibson,English,LM,27,64,62,59,10,83,59,58,64,54,60,1.2,7,67,false
colchester,colchester_tucker,Jack Tucker,English,CB,25,58,54,64,10,64,30,46,50,62,77,1.3,8,72,false
barnet,stevenage_ashbyhammond,Taye Ashby-Hammond,English,GK,26,10,11,13,64,63,62,61,64,23,63,1.3,7,69,false
walsall,walsall_leak,Ryan Leak,Welsh,CB,24,56,54,64,10,52,32,45,49,64,71,1.1,7,71,false
swindon,swindon_kilkenny,Gavin Kilkenny,Irish,CM,25,63,64,64,10,59,54,62,65,61,67,1.2,7,70,false
chesterfield,che_stirk,Ryan Stirk,Welsh,CDM,24,61,62,64,10,71,50,58,60,60,72,1,7,68,false
bristol_rovers,brr_mola,Clinton Mola,English,CDM,24,58,59,64,10,69,41,58,62,62,74,1,6,70,false
chesterfield,chesterfield_markanday,Dilan Markanday,English,RM,24,64,61,41,10,75,61,58,68,24,52,1.1,7,71,false
northampton,northampton_fornah,Tyrese Fornah,Sierra Leonean,CM,25,64,64,64,10,61,57,62,65,60,72,1.3,8,73,false
rotherham,sal_ashley,Ossama Ashley,English,CDM,25,59,59,64,10,69,48,55,61,61,73,1,7,70,false
barnet,bnt_senior,Adam Senior,English,RB,23,63,59,64,10,73,45,51,58,59,77,1,7,67,false
salford,fle_bonds,Elliot Bonds,Guyanese,CDM,25,61,61,64,10,65,53,58,60,60,74,1,6,70,false
accrington,accrington_moulden,Louie Moulden,English,GK,24,10,11,13,64,63,62,69,65,50,64,1.1,7,71,false
fleetwood,fleetwood_helm,Mark Helm,English,CM,23,64,63,56,10,70,61,62,68,51,62,1,6,70,false
port_vale,pva2_garrity,Ben Garrity,English,CM,25,63,62,64,10,77,60,60,63,62,74,1,7,68,false
fleetwood,fle_rooney,Shaun Rooney,Scottish,CB,29,64,61,63,10,67,52,59,60,59,81,1,7,67,false
port_vale,port_vale_gordon2,Liam Gordon,Guyanese,LB,24,64,61,63,10,81,47,54,61,56,70,1.1,7,71,false
bristol_rovers,bristol_rovers_leigh,Tommy Leigh,English,CM,24,64,63,58,10,68,62,63,65,52,68,1.1,7,71,false
exeter,exeter_turns,Ed Turns,Welsh,CB,24,58,55,64,10,56,31,45,52,63,72,1.1,7,71,false
crawley,crawley_ebiowei,Malcolm Ebiowei,English,RW,24,64,61,46,10,71,61,59,68,38,44,1.1,7,71,false
crewe,crewe_billington,Lewis Billington,English,RB,21,62,59,64,10,70,37,51,56,58,74,1.1,7,77,true
port_vale,port_vale_craig,Matthew Craig,Scottish,CDM,24,56,59,64,10,56,36,56,61,62,66,1.1,7,71,false
fleetwood,fleetwood_neal,Harrison Neal,English,CDM,24,58,60,64,10,43,45,57,56,61,70,1.2,7,73,false
bristol_rovers,brr_cavegn,Fabrizio Cavegn,Swiss,ST,22,64,62,41,10,78,62,51,64,23,62,2,8,72,false
