team_id,name,short_name,crest,league,stadium,stadium_capacity,budget_millions,reputation,primary_color
barnet,Barnet,BNT,🟠⚫,League Two,The Hive Stadium,6500,4,48,#F5A623
colchester,Colchester United,COL,🔵⚪,League Two,Colchester Community Stadium,10105,5,50,#003399
crawley,Crawley Town,CRA,🔴,League Two,Broadfield Stadium,5996,4,46,#E2001A
crewe,Crewe Alexandra,CRE,🔴,League Two,Gresty Road,10153,5,50,#E2001A
gillingham,Gillingham,GIL,🔵,League Two,Priestfield Stadium,11582,5,50,#0000FF
grimsby,Grimsby Town,GRI,⚫⚪,League Two,Blundell Park,9052,5,50,#000000
morecambe,Morecambe,M,⚪⚫,League Two,Morecambe Stadium,5450,3,46,#FFFFFF
newport,Newport County,NEW,🟡⚫,League Two,Rodney Parade,7850,3,44,#F5A623
salford,Salford City,SAL,🔴,League Two,Moor Lane,5108,8,54,#E2001A
sutton_united,Sutton United,SU,⚫🟤,League Two,Sutton United Stadium,5450,3,46,#000000
swindon,Swindon Town,SWI,🔴,League Two,County Ground,15728,6,54,#E2001A
tranmere,Tranmere Rovers,TRA,⚪,League Two,Prenton Park,16789,5,50,#FFFFFF
walsall,Walsall,WAL,🔴,League Two,Bescot Stadium,11300,5,50,#E2001A
rotherham,Rotherham United,ROT,🔴,League Two,New York Stadium,12021,6,56,#E2001A
exeter,Exeter City,EXE,🔴,League Two,St James Park,8219,6,57,#E2001A
northampton,Northampton Town,NOR,🔴,League Two,Sixfields Stadium,8203,5,54,#7A263A
bristol_rovers,Bristol Rovers,BRR,🔵⚪,League Two,Memorial Stadium,9832,5,50,#0038A8
cheltenham,Cheltenham Town,CLT,🔴,League Two,Whaddon Road,7066,4,48,#E2001A
fleetwood,Fleetwood Town,FLE,🔴,League Two,Highbury Stadium,5327,4,48,#E2001A
port_vale,Port Vale,PVA,⚪⚫,League Two,Vale Park,19052,5,53,#FFFFFF
rochdale,Rochdale,R,🟢🟡,League Two,Rochdale Stadium,5450,3,46,#00A650
york_city,York City,YC,⚫,League Two,York City Stadium,5450,3,46,#000000
accrington,Accrington Stanley,ACC,🔴,League Two,Crown Ground,5450,3,46,#E2001A
chesterfield,Chesterfield,CHE,🔵,League Two,SMH Group Stadium,10504,5,50,#1E3F8F
