team_id,player_id,name,nationality,position,age,attack,midfield,defence,goalkeeping,pace,shooting,passing,dribbling,defending,physical,value_millions,wage_thousands,potential,is_wonderkid
psg,psg_dembele,Ousmane Dembélé,French,ST,28,90,88,68,10,90,89,83,93,55,70,62,155,90,false
psg,psg_vitinha,Vitinha,Portuguese,CM,25,89,90,82,10,72,81,88,91,75,70,72,115,93,false
psg,psg_kvaratskhelia,Khvicha Kvaratskhelia,Georgian,LW,24,89,89,73,10,86,85,84,90,59,81,32.2,52,89,false
psg,psg_nuno_mendes,Nuno Mendes,Portuguese,LB,23,87,87,89,10,94,77,80,86,84,80,55,82,93,false
psg,psg_pacho,Willian Pacho,Ecuadorian,CB,23,75,74,89,10,80,34,63,65,90,86,38,42,93,false
psg,psg_joao_neves,João Neves,Portuguese,CM,20,85,87,88,10,72,75,84,87,86,82,52,62,88,true
psg,psg_hakimi,Achraf Hakimi,Moroccan,RB,26,88,87,88,10,92,79,81,82,82,81,68,155,90,false
psg,psg_marquinhos,Marquinhos,Brazilian,CB,31,78,79,87,10,74,56,75,73,89,78,48,155,88,false
psg,psg_ruiz,Fabián Ruiz,Spanish,CM,29,84,86,82,10,60,77,83,82,77,73,28,82,86,false
psg,psg_doue,Désiré Doué,French,RW,20,86,86,70,10,83,81,79,90,55,80,38,42,87,true
psg,psg_barcola,Bradley Barcola,French,LW,22,85,84,60,10,92,76,78,84,39,67,62,72,86,false
psg,psg_safonov2,Matvey Safonov,Russian,GK,24,10,11,13,83,82,76,80,86,50,83,34,53,87,false
psg,psg_zaaire_emery,Warren Zaïre-Emery,French,CM,19,81,82,83,10,79,71,78,81,79,85,62,62,91,true
lens,lens_thauvin,Florian Thauvin,French,RW,24,81,82,61,10,70,79,84,83,46,68,29.2,47,86,false
lyon,ol_tolisso,Corentin Tolisso,French,CM,31,81,82,82,10,68,79,80,76,79,82,12,42,82,false
rennes,rennes_lepaul,Estéban Lepaul,French,ST,24,81,77,58,10,76,83,61,78,39,71,25.2,42,86,false
rennes,rennes_samba,Brice Samba,French,GK,31,10,11,13,81,78,81,81,83,53,80,14.8,41,81,false
rennes,rennes_thomasson,Adrien Thomasson,French,CM,24,79,81,76,10,57,74,82,80,71,75,25.2,42,86,false
psg,psg_hernandez,Lucas Hernández,French,CB,29,74,75,81,10,71,52,72,71,82,75,26.4,58,84,false
lyon,ol_niakhate,Moussa Niakhaté,Senegalese,CB,29,72,71,81,10,68,49,65,64,82,81,14,35,81,false
lens,lens_udol,Matthieu Udol,French,LB,28,79,79,81,10,70,61,76,76,79,84,2.3,8,81,false
monaco,mon_zakaria,Denis Zakaria,Swiss,CDM,29,76,77,81,10,80,67,74,77,80,85,18,48,82,false
lyon,lyon_greif,Dominik Greif,Slovak,GK,28,10,11,13,81,78,76,83,82,24,82,11.7,29,81,false
monaco,mon_akliouche,Maghnes Akliouche,French,CAM,23,81,80,62,10,74,72,80,84,48,62,22,28,85,false
lens,lens_risser,Robin Risser,French,GK,22,10,11,13,81,82,76,84,84,39,78,9.8,18,82,false
lille,lil_andre,Benjamin André,French,CDM,34,73,75,80,10,54,64,73,76,79,83,6,32,80,false
marseille,marseille_jbjerg,Pierre-Emile Højbjerg,Danish,CDM,24,77,79,80,10,49,71,75,74,76,82,21.7,37,85,false
marseille,marseille_rulli,Gerónimo Rulli,Argentine,GK,24,10,11,13,80,81,77,80,85,54,75,21.7,37,85,false
rennes,rennes_rongier,Valentin Rongier,French,CDM,30,78,80,80,10,60,66,75,78,74,78,15.8,41,81,false
marseille,ren_gouiri,Amine Gouiri,Algerian,ST,24,80,79,59,10,77,82,77,81,45,71,22,38,84,false
lyon,lyon_openda,Loïs Openda,Belgian,ST,24,80,77,52,10,94,79,69,78,30,75,21.7,37,85,false
marseille,whu_aguerd,Nayef Aguerd,Moroccan,CB,29,72,71,80,10,75,50,66,65,81,81,32,78,81,false
monaco,mon_balogun,Folarin Balogun,United States,ST,24,80,77,49,10,84,80,63,78,24,71,28,42,85,false
psg,psg_chevalier,Lucas Chevalier,French,GK,23,10,11,13,80,83,75,73,84,50,78,29.7,46,86,false
psg,psg_zabarnyi,Illia Zabarnyi,Ukrainian,CB,22,70,69,80,10,77,37,65,64,81,80,23.6,36,86,false
