team_id,player_id,name,nationality,position,age,attack,midfield,defence,goalkeeping,pace,shooting,passing,dribbling,defending,physical,value_millions,wage_thousands,potential,is_wonderkid
man_city,mci_haaland,Erling Haaland,Norwegian,ST,25,91,87,69,10,87,92,71,80,47,89,215,445,97,false
man_city,mci_rodri,Rodri,Spanish,CDM,29,87,89,90,10,62,78,86,81,85,81,135,385,93,false
man_utd,mun_fernandes,Bruno Fernandes,Portuguese,CAM,30,88,89,78,10,67,85,92,85,68,75,75,315,89,false
arsenal,arsenal_gabriel,Gabriel,Brazilian,CB,24,76,75,89,10,64,44,64,66,91,84,148.4,288,93,false
man_city,man_city_donnarumma,Gianluigi Donnarumma,Italian,GK,26,10,11,13,89,90,83,72,90,46,88,85.8,206,90,false
arsenal,ars_saliba,William Saliba,French,CB,24,76,76,88,10,77,41,68,73,90,82,108,195,95,false
arsenal,ars_raya,David Raya,Spanish,GK,30,12,14,18,88,87,86,88,88,58,86,38,250,88,false
arsenal,ars_rice,Declan Rice,English,CDM,26,85,87,88,10,72,75,86,81,85,84,120,340,95,false
liverpool,liv_van_dijk,Virgil van Dijk,Holland,CB,34,79,78,88,10,70,60,72,70,89,85,52,295,94,false
liverpool,liverpool_alisson,Alisson,Brazilian,GK,24,10,11,13,87,85,87,82,86,50,86,110.6,221,91,false
man_city,mci_dias,Rúben Dias,Portuguese,CB,28,77,78,87,10,58,44,69,69,87,83,80,235,91,false
arsenal,ars_saka,Bukayo Saka,English,RW,23,87,87,72,10,79,82,85,87,60,73,168,345,97,true
chelsea,che_caicedo,Moisés Caicedo,Ecuadorian,CDM,23,81,82,86,10,69,68,77,81,84,82,120,285,93,false
liverpool,liv_szoboszlai,Dominik Szoboszlai,Hungarian,CAM,24,86,86,80,10,82,83,86,84,74,77,85,205,93,true
newcastle,arsenal_guimaraes,Bruno Guimarães,Brazilian,CM,27,84,86,85,10,59,75,85,84,80,80,59,160,87,false
chelsea,che_fernandez,Enzo Fernández,Argentine,CM,24,85,86,80,10,68,78,86,83,74,76,85,225,90,false
liverpool,liv_isak,Alexander Isak,Swedish,ST,25,86,82,59,10,81,87,72,82,39,72,138,285,91,false
arsenal,ars_odegaard,Martin Ødegaard,Norwegian,CM,26,85,86,74,10,65,78,88,87,66,63,120,340,95,false
arsenal,arsenal_gyokeres,Viktor Gyökeres,Swedish,ST,24,86,84,66,10,81,87,72,78,44,87,95.5,193,90,false
man_city,man_city_cherki,Rayan Cherki,French,RW,24,85,86,60,10,74,79,85,91,41,67,95.5,193,90,false
liverpool,liv_wirtz,Florian Wirtz,German,CAM,22,86,86,68,10,77,79,86,88,54,61,188,320,97,true
sunderland,sunderland_xhaka,Granit Xhaka,Swiss,CDM,24,82,85,84,10,45,75,85,74,78,81,82.5,169,89,false
aston_villa,avl_martinez,Emiliano Martínez,Argentine,GK,33,14,15,18,85,83,81,82,85,50,85,48,210,90,false
everton,eve_pickford,Jordan Pickford,English,GK,31,14,14,18,85,84,80,89,87,57,82,35,110,85,false
man_utd,man_utd_tielemans,Youri Tielemans,Belgian,CM,28,83,85,81,10,53,79,85,80,76,70,40.2,124,85,false
